bench,case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,alpha_low,alpha_mid,alpha_high,phyread_args,phyopt_args,log_file
c499,alpha_wide_low_high1,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,0.10,0.50,0.90,"-L 0.10 -M 0.50 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c499/c499_alpha_wide_low_high1.log
c499,alpha_wide_low_high2,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,0.30,0.50,0.70,"-L 0.30 -M 0.50 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c499/c499_alpha_wide_low_high2.log
c880,alpha_default,PASS,210.67,12.00,195.51,12.00,18,68,25.0,0.0,0.0,26,5,32,0.20,0.50,0.80,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c880/c880_alpha_default.log
c880,alpha_struct_plus1,PASS,210.67,12.00,194.71,12.00,20,66,25.0,0.0,0.0,26,4,30,0.15,0.45,0.75,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c880/c880_alpha_struct_plus1.log
c880,alpha_struct_plus2,PASS,210.67,12.00,206.15,11.00,18,69,40.0,0.0,50.0,28,4,20,0.10,0.40,0.70,"-L 0.10 -M 0.40 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c880/c880_alpha_struct_plus2.log
c880,alpha_slack_plus1,PASS,210.67,12.00,198.97,12.00,12,74,25.0,0.0,0.0,26,2,32,0.25,0.55,0.85,"-L 0.25 -M 0.55 -H 0.85 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c880/c880_alpha_slack_plus1.log
c880,alpha_slack_plus2,PASS,210.67,12.00,198.70,12.00,12,73,25.0,0.0,0.0,26,4,34,0.30,0.60,0.90,"-L 0.30 -M 0.60 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c880/c880_alpha_slack_plus2.log
c880,alpha_wide_low_high1,PASS,210.67,12.00,198.97,12.00,12,74,25.0,0.0,0.0,26,2,32,0.10,0.50,0.90,"-L 0.10 -M 0.50 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c880/c880_alpha_wide_low_high1.log
c880,alpha_wide_low_high2,PASS,210.67,12.00,206.15,11.00,18,69,40.0,0.0,0.0,28,4,20,0.30,0.50,0.70,"-L 0.30 -M 0.50 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c880/c880_alpha_wide_low_high2.log
c1355,alpha_default,PASS,250.57,9.00,248.98,9.00,22,63,60.0,0.0,0.0,2,0,0,0.20,0.50,0.80,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c1355/c1355_alpha_default.log
c1355,alpha_struct_plus1,PASS,250.57,9.00,248.98,9.00,22,63,60.0,0.0,0.0,2,0,0,0.15,0.45,0.75,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c1355/c1355_alpha_struct_plus1.log
c1355,alpha_struct_plus2,PASS,250.57,9.00,248.98,9.00,22,63,60.0,0.0,0.0,2,0,0,0.10,0.40,0.70,"-L 0.10 -M 0.40 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c1355/c1355_alpha_struct_plus2.log
c1355,alpha_slack_plus1,PASS,250.57,9.00,248.98,9.00,22,63,60.0,0.0,0.0,2,0,0,0.25,0.55,0.85,"-L 0.25 -M 0.55 -H 0.85 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c1355/c1355_alpha_slack_plus1.log
c1355,alpha_slack_plus2,PASS,250.57,9.00,248.98,9.00,22,63,60.0,0.0,0.0,2,0,0,0.30,0.60,0.90,"-L 0.30 -M 0.60 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c1355/c1355_alpha_slack_plus2.log
c1355,alpha_wide_low_high1,PASS,250.57,9.00,248.98,9.00,22,63,60.0,0.0,0.0,2,0,0,0.10,0.50,0.90,"-L 0.10 -M 0.50 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c1355/c1355_alpha_wide_low_high1.log
c1355,alpha_wide_low_high2,PASS,250.57,9.00,248.98,9.00,22,63,60.0,0.0,0.0,2,0,0,0.30,0.50,0.70,"-L 0.30 -M 0.50 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c1355/c1355_alpha_wide_low_high2.log
c1908,alpha_default,PASS,209.08,13.00,176.36,11.00,18,72,80.0,0.0,20.0,34,3,18,0.20,0.50,0.80,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c1908/c1908_alpha_default.log
c1908,alpha_struct_plus1,PASS,209.08,13.00,176.36,11.00,18,72,80.0,0.0,20.0,32,4,17,0.15,0.45,0.75,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c1908/c1908_alpha_struct_plus1.log
c1908,alpha_struct_plus2,PASS,209.08,13.00,178.22,11.00,21,71,80.0,0.0,40.0,31,1,25,0.10,0.40,0.70,"-L 0.10 -M 0.40 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c1908/c1908_alpha_struct_plus2.log
c1908,alpha_slack_plus1,PASS,209.08,13.00,184.07,11.00,21,67,40.0,0.0,25.0,27,0,21,0.25,0.55,0.85,"-L 0.25 -M 0.55 -H 0.85 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c1908/c1908_alpha_slack_plus1.log
c1908,alpha_slack_plus2,PASS,209.08,13.00,183.54,11.00,22,66,40.0,0.0,25.0,28,0,21,0.30,0.60,0.90,"-L 0.30 -M 0.60 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c1908/c1908_alpha_slack_plus2.log
c1908,alpha_wide_low_high1,PASS,209.08,13.00,184.07,11.00,21,67,40.0,0.0,25.0,27,0,21,0.10,0.50,0.90,"-L 0.10 -M 0.50 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c1908/c1908_alpha_wide_low_high1.log
c1908,alpha_wide_low_high2,PASS,209.08,13.00,181.94,11.00,19,73,80.0,0.0,40.0,34,2,20,0.30,0.50,0.70,"-L 0.30 -M 0.50 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c1908/c1908_alpha_wide_low_high2.log
c2670,alpha_default,PASS,454.59,10.00,395.81,10.00,18,56,60.0,33.3,0.0,19,0,27,0.20,0.50,0.80,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c2670/c2670_alpha_default.log
c2670,alpha_struct_plus1,PASS,454.59,10.00,393.68,10.00,18,66,60.0,0.0,25.0,17,1,36,0.15,0.45,0.75,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c2670/c2670_alpha_struct_plus1.log
c2670,alpha_struct_plus2,PASS,454.59,10.00,393.41,10.00,19,65,60.0,0.0,25.0,19,0,35,0.10,0.40,0.70,"-L 0.10 -M 0.40 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c2670/c2670_alpha_struct_plus2.log
c2670,alpha_slack_plus1,PASS,454.59,10.00,395.81,10.00,18,56,60.0,33.3,0.0,19,0,29,0.25,0.55,0.85,"-L 0.25 -M 0.55 -H 0.85 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c2670/c2670_alpha_slack_plus1.log
c2670,alpha_slack_plus2,PASS,454.59,10.00,395.81,10.00,18,56,60.0,33.3,0.0,19,0,29,0.30,0.60,0.90,"-L 0.30 -M 0.60 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c2670/c2670_alpha_slack_plus2.log
c2670,alpha_wide_low_high1,PASS,454.59,10.00,395.81,10.00,18,56,60.0,33.3,0.0,19,0,27,0.10,0.50,0.90,"-L 0.10 -M 0.50 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c2670/c2670_alpha_wide_low_high1.log
c2670,alpha_wide_low_high2,PASS,454.59,10.00,393.68,10.00,18,66,60.0,0.0,25.0,17,1,36,0.30,0.50,0.70,"-L 0.30 -M 0.50 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c2670/c2670_alpha_wide_low_high2.log
c3540,alpha_default,PASS,628.56,18.00,563.12,18.00,18,61,60.0,0.0,20.0,13,0,41,0.20,0.50,0.80,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c3540/c3540_alpha_default.log
c3540,alpha_struct_plus1,PASS,628.56,18.00,562.86,18.00,19,60,60.0,0.0,20.0,13,0,40,0.15,0.45,0.75,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c3540/c3540_alpha_struct_plus1.log
c3540,alpha_struct_plus2,PASS,628.56,18.00,577.75,18.00,21,58,60.0,0.0,20.0,15,0,36,0.10,0.40,0.70,"-L 0.10 -M 0.40 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c3540/c3540_alpha_struct_plus2.log
c3540,alpha_slack_plus1,PASS,628.56,18.00,568.18,18.00,20,57,60.0,0.0,20.0,13,0,34,0.25,0.55,0.85,"-L 0.25 -M 0.55 -H 0.85 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c3540/c3540_alpha_slack_plus1.log
c3540,alpha_slack_plus2,PASS,628.56,18.00,604.62,17.00,14,68,20.0,0.0,20.0,12,0,45,0.30,0.60,0.90,"-L 0.30 -M 0.60 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c3540/c3540_alpha_slack_plus2.log
c3540,alpha_wide_low_high1,PASS,628.56,18.00,604.62,17.00,14,68,20.0,0.0,20.0,12,0,45,0.10,0.50,0.90,"-L 0.10 -M 0.50 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c3540/c3540_alpha_wide_low_high1.log
c3540,alpha_wide_low_high2,PASS,628.56,18.00,577.49,18.00,22,56,60.0,0.0,20.0,15,0,35,0.30,0.50,0.70,"-L 0.30 -M 0.50 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c3540/c3540_alpha_wide_low_high2.log
c5315,alpha_default,PASS,1158.96,18.00,996.17,18.00,30,77,100.0,0.0,0.0,72,0,3,0.20,0.50,0.80,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c5315/c5315_alpha_default.log
c5315,alpha_struct_plus1,PASS,1158.96,18.00,998.30,18.00,30,79,100.0,0.0,0.0,72,0,5,0.15,0.45,0.75,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c5315/c5315_alpha_struct_plus1.log
c5315,alpha_struct_plus2,PASS,1158.96,18.00,995.37,18.00,31,78,100.0,0.0,0.0,69,0,7,0.10,0.40,0.70,"-L 0.10 -M 0.40 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c5315/c5315_alpha_struct_plus2.log
c5315,alpha_slack_plus1,PASS,1158.96,18.00,1010.00,18.00,22,84,100.0,0.0,0.0,78,0,5,0.25,0.55,0.85,"-L 0.25 -M 0.55 -H 0.85 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c5315/c5315_alpha_slack_plus1.log
c5315,alpha_slack_plus2,PASS,1158.96,18.00,1010.00,18.00,22,84,100.0,0.0,0.0,78,0,5,0.30,0.60,0.90,"-L 0.30 -M 0.60 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c5315/c5315_alpha_slack_plus2.log
c5315,alpha_wide_low_high1,PASS,1158.96,18.00,1010.00,18.00,22,84,100.0,0.0,0.0,78,0,5,0.10,0.50,0.90,"-L 0.10 -M 0.50 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c5315/c5315_alpha_wide_low_high1.log
c5315,alpha_wide_low_high2,PASS,1158.96,18.00,998.30,18.00,30,79,100.0,0.0,0.0,72,0,5,0.30,0.50,0.70,"-L 0.30 -M 0.50 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c5315/c5315_alpha_wide_low_high2.log
c6288,alpha_default,PASS,2283.08,45.00,1401.82,45.00,15,93,60.0,0.0,0.0,7,1,40,0.20,0.50,0.80,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c6288/c6288_alpha_default.log
c6288,alpha_struct_plus1,PASS,2283.08,45.00,1401.82,45.00,15,93,60.0,0.0,0.0,7,1,40,0.15,0.45,0.75,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c6288/c6288_alpha_struct_plus1.log
c6288,alpha_struct_plus2,PASS,2283.08,45.00,1397.56,45.00,30,77,40.0,0.0,0.0,10,0,22,0.10,0.40,0.70,"-L 0.10 -M 0.40 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c6288/c6288_alpha_struct_plus2.log
c6288,alpha_slack_plus1,PASS,2283.08,45.00,1401.82,45.00,15,93,60.0,0.0,0.0,7,1,40,0.25,0.55,0.85,"-L 0.25 -M 0.55 -H 0.85 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c6288/c6288_alpha_slack_plus1.log
c6288,alpha_slack_plus2,PASS,2283.08,45.00,1401.82,45.00,15,93,60.0,0.0,0.0,7,1,40,0.30,0.60,0.90,"-L 0.30 -M 0.60 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c6288/c6288_alpha_slack_plus2.log
c6288,alpha_wide_low_high1,PASS,2283.08,45.00,1401.82,45.00,15,93,60.0,0.0,0.0,7,1,40,0.10,0.50,0.90,"-L 0.10 -M 0.50 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c6288/c6288_alpha_wide_low_high1.log
c6288,alpha_wide_low_high2,PASS,2283.08,45.00,1397.56,45.00,30,77,40.0,0.0,0.0,10,0,22,0.30,0.50,0.70,"-L 0.30 -M 0.50 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c6288/c6288_alpha_wide_low_high2.log
c7552,alpha_default,PASS,1061.34,13.00,1021.71,13.00,19,81,40.0,0.0,0.0,30,7,35,0.20,0.50,0.80,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c7552/c7552_alpha_default.log
c7552,alpha_struct_plus1,PASS,1061.34,13.00,1020.91,13.00,20,80,40.0,0.0,0.0,27,8,35,0.15,0.45,0.75,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c7552/c7552_alpha_struct_plus1.log
c7552,alpha_struct_plus2,PASS,1061.34,13.00,1020.11,13.00,20,80,40.0,0.0,0.0,27,8,35,0.10,0.40,0.70,"-L 0.10 -M 0.40 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c7552/c7552_alpha_struct_plus2.log
c7552,alpha_slack_plus1,PASS,1061.34,13.00,1023.83,13.00,18,82,40.0,0.0,0.0,30,6,37,0.25,0.55,0.85,"-L 0.25 -M 0.55 -H 0.85 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/alpha_ablation_11cxx/results/run_20260403_alpha20/c7552/c7552_alpha_slack_plus1.log
