bench,k_case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,k_value,phyread_args,phyopt_args,log_file
c499,k40,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,40,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c499/c499_k40.log
c499,k60,PASS,250.57,9.00,250.04,9.00,12,164,80.0,0.0,33.3,62,0,0,60,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 60 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c499/c499_k60.log
c880,k20,PASS,210.67,12.00,199.50,12.00,9,37,25.0,0.0,0.0,17,1,17,20,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 20 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c880/c880_k20.log
c880,k30,PASS,210.67,12.00,200.30,12.00,15,51,25.0,0.0,0.0,24,1,24,30,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c880/c880_k30.log
c880,k40,PASS,210.67,12.00,195.51,12.00,18,68,25.0,0.0,0.0,26,5,32,40,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c880/c880_k40.log
c880,k60,PASS,210.67,12.00,193.38,12.00,27,99,25.0,0.0,0.0,43,11,35,60,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 60 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c880/c880_k60.log
c1355,k20,PASS,250.57,9.00,250.57,9.00,13,34,60.0,0.0,0.0,2,0,0,20,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 20 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c1355/c1355_k20.log
c1355,k30,PASS,250.57,9.00,248.98,9.00,17,49,60.0,0.0,0.0,2,0,2,30,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c1355/c1355_k30.log
c1355,k40,PASS,250.57,9.00,248.98,9.00,22,63,60.0,0.0,0.0,2,0,0,40,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c1355/c1355_k40.log
c1355,k60,PASS,250.57,9.00,250.31,9.00,29,93,60.0,0.0,0.0,2,0,1,60,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 60 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c1355/c1355_k60.log
c1908,k20,PASS,209.08,13.00,185.14,11.00,14,40,80.0,0.0,0.0,20,0,12,20,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 20 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c1908/c1908_k20.log
c1908,k30,PASS,209.08,13.00,181.15,11.00,16,57,80.0,0.0,40.0,24,0,17,30,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c1908/c1908_k30.log
c1908,k40,PASS,209.08,13.00,176.36,11.00,18,72,80.0,0.0,20.0,34,3,18,40,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c1908/c1908_k40.log
c1908,k60,PASS,209.08,13.00,178.49,11.00,20,106,80.0,0.0,0.0,39,12,29,60,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 60 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c1908/c1908_k60.log
c2670,k20,PASS,454.59,10.00,397.67,10.00,12,29,60.0,33.3,25.0,10,1,11,20,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 20 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c2670/c2670_k20.log
c2670,k30,PASS,454.59,10.00,391.82,10.00,16,44,60.0,25.0,25.0,15,0,24,30,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c2670/c2670_k30.log
c2670,k40,PASS,454.59,10.00,395.81,10.00,18,56,60.0,33.3,0.0,19,0,27,40,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c2670/c2670_k40.log
c2670,k60,PASS,454.59,10.00,383.57,11.00,30,76,60.0,33.3,0.0,28,0,37,60,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 60 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c2670/c2670_k60.log
c3540,k20,PASS,628.56,18.00,595.57,18.00,9,33,60.0,0.0,0.0,11,0,15,20,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 20 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c3540/c3540_k20.log
c3540,k30,PASS,628.56,18.00,574.56,18.00,16,43,60.0,50.0,40.0,12,0,27,30,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c3540/c3540_k30.log
c3540,k40,PASS,628.56,18.00,563.12,18.00,18,61,60.0,0.0,20.0,13,0,41,40,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c3540/c3540_k40.log
c3540,k60,PASS,628.56,18.00,576.95,18.00,16,104,60.0,0.0,20.0,22,0,77,60,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 60 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c3540/c3540_k60.log
c5315,k20,PASS,1158.96,18.00,1011.60,18.00,16,44,100.0,0.0,0.0,42,0,2,20,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 20 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c5315/c5315_k20.log
c5315,k30,PASS,1158.96,18.00,1002.29,18.00,24,65,100.0,0.0,0.0,58,0,5,30,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c5315/c5315_k30.log
c5315,k40,PASS,1158.96,18.00,996.17,18.00,30,77,100.0,0.0,0.0,72,0,3,40,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c5315/c5315_k40.log
c5315,k60,PASS,1158.96,18.00,995.11,18.00,34,111,100.0,0.0,0.0,106,0,3,60,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 60 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c5315/c5315_k60.log
c6288,k20,PASS,2283.08,45.00,1400.76,45.00,14,46,60.0,0.0,20.0,6,1,18,20,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 20 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c6288/c6288_k20.log
c6288,k30,PASS,2283.08,45.00,1401.82,45.00,15,73,60.0,0.0,0.0,7,1,27,30,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c6288/c6288_k30.log
c6288,k40,PASS,2283.08,45.00,1401.82,45.00,15,93,60.0,0.0,0.0,7,1,40,40,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c6288/c6288_k40.log
c6288,k60,PASS,2283.08,45.00,1398.36,45.00,24,114,60.0,0.0,0.0,8,1,63,60,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 60 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c6288/c6288_k60.log
c7552,k20,PASS,1061.34,13.00,1026.76,13.00,12,48,40.0,0.0,0.0,18,1,23,20,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 20 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c7552/c7552_k20.log
c7552,k30,PASS,1061.34,13.00,1024.37,13.00,13,66,40.0,0.0,0.0,24,5,31,30,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c7552/c7552_k30.log
c7552,k40,PASS,1061.34,13.00,1021.71,13.00,19,81,40.0,0.0,0.0,30,7,35,40,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c7552/c7552_k40.log
c7552,k60,PASS,1061.34,13.00,1012.93,13.00,29,109,40.0,0.0,50.0,37,10,46,60,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 60 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c7552/c7552_k60.log
