bench,w_case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,phyread_args,phyopt_args,log_file
c880,w_invpair_A,PASS,210.67,12.00,197.37,12.00,11,75,25.0,0.0,0.0,26,3,36,"-i 0.48 -p 0.45 -f 0.04 -g 0.03","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c880/c880_w_invpair_A.log
c880,w_invpair_B,PASS,210.67,12.00,206.15,11.00,18,69,40.0,0.0,50.0,28,4,20,"-i 0.55 -p 0.35 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c880/c880_w_invpair_B.log
c880,w_invpair_C,PASS,210.67,12.00,195.51,12.00,18,68,25.0,0.0,0.0,26,4,31,"-i 0.52 -p 0.40 -f 0.03 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c880/c880_w_invpair_C.log
c880,w_invpair_D,PASS,210.67,12.00,197.37,12.00,11,75,25.0,0.0,0.0,26,3,36,"-i 0.47 -p 0.43 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c880/c880_w_invpair_D.log
c880,w_invpair_E,PASS,210.67,12.00,206.15,11.00,18,69,40.0,0.0,50.0,28,4,20,"-i 0.53 -p 0.37 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c880/c880_w_invpair_E.log
c1355,w_invpair_base,PASS,250.57,9.00,248.98,9.00,22,63,60.0,0.0,0.0,2,0,0,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c1355/c1355_w_invpair_base.log
c1355,w_invpair_A,PASS,250.57,9.00,248.98,9.00,22,63,60.0,0.0,0.0,2,0,0,"-i 0.48 -p 0.45 -f 0.04 -g 0.03","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c1355/c1355_w_invpair_A.log
c1355,w_invpair_B,PASS,250.57,9.00,248.98,9.00,22,63,60.0,0.0,0.0,2,0,0,"-i 0.55 -p 0.35 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c1355/c1355_w_invpair_B.log
c1355,w_invpair_C,PASS,250.57,9.00,248.98,9.00,22,63,60.0,0.0,0.0,2,0,0,"-i 0.52 -p 0.40 -f 0.03 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c1355/c1355_w_invpair_C.log
c1355,w_invpair_D,PASS,250.57,9.00,248.98,9.00,22,63,60.0,0.0,0.0,2,0,0,"-i 0.47 -p 0.43 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c1355/c1355_w_invpair_D.log
c1355,w_invpair_E,PASS,250.57,9.00,248.98,9.00,22,63,60.0,0.0,0.0,2,0,0,"-i 0.53 -p 0.37 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c1355/c1355_w_invpair_E.log
c1908,w_invpair_base,PASS,209.08,13.00,176.36,11.00,18,72,80.0,0.0,20.0,34,3,18,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c1908/c1908_w_invpair_base.log
c1908,w_invpair_A,PASS,209.08,13.00,184.60,11.00,21,67,40.0,0.0,25.0,29,0,23,"-i 0.48 -p 0.45 -f 0.04 -g 0.03","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c1908/c1908_w_invpair_A.log
c1908,w_invpair_B,PASS,209.08,13.00,178.22,11.00,22,68,80.0,0.0,40.0,31,1,20,"-i 0.55 -p 0.35 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c1908/c1908_w_invpair_B.log
c1908,w_invpair_C,PASS,209.08,13.00,176.36,11.00,18,72,80.0,0.0,20.0,34,3,17,"-i 0.52 -p 0.40 -f 0.03 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c1908/c1908_w_invpair_C.log
c1908,w_invpair_D,PASS,209.08,13.00,182.74,11.00,23,65,40.0,0.0,25.0,28,0,22,"-i 0.47 -p 0.43 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c1908/c1908_w_invpair_D.log
c1908,w_invpair_E,PASS,209.08,13.00,176.36,11.00,18,72,80.0,0.0,20.0,31,4,18,"-i 0.53 -p 0.37 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c1908/c1908_w_invpair_E.log
c2670,w_invpair_base,PASS,454.59,10.00,395.81,10.00,18,56,60.0,33.3,0.0,19,0,27,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c2670/c2670_w_invpair_base.log
c2670,w_invpair_A,PASS,454.59,10.00,395.81,10.00,18,56,60.0,33.3,0.0,17,0,31,"-i 0.48 -p 0.45 -f 0.04 -g 0.03","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c2670/c2670_w_invpair_A.log
c2670,w_invpair_B,PASS,454.59,10.00,394.74,10.00,17,67,60.0,0.0,25.0,19,0,41,"-i 0.55 -p 0.35 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c2670/c2670_w_invpair_B.log
c2670,w_invpair_C,PASS,454.59,10.00,395.81,10.00,18,56,60.0,33.3,0.0,19,0,27,"-i 0.52 -p 0.40 -f 0.03 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c2670/c2670_w_invpair_C.log
c2670,w_invpair_D,PASS,454.59,10.00,395.81,10.00,18,56,60.0,33.3,0.0,17,0,31,"-i 0.47 -p 0.43 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c2670/c2670_w_invpair_D.log
c2670,w_invpair_E,PASS,454.59,10.00,393.41,10.00,19,65,60.0,0.0,25.0,19,0,35,"-i 0.53 -p 0.37 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c2670/c2670_w_invpair_E.log
c3540,w_invpair_base,PASS,628.56,18.00,563.12,18.00,18,61,60.0,0.0,20.0,13,0,41,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c3540/c3540_w_invpair_base.log
c3540,w_invpair_A,PASS,628.56,18.00,604.35,17.00,14,67,20.0,0.0,40.0,12,0,47,"-i 0.48 -p 0.45 -f 0.04 -g 0.03","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c3540/c3540_w_invpair_A.log
c3540,w_invpair_B,PASS,628.56,18.00,571.37,18.00,22,58,60.0,0.0,20.0,14,0,39,"-i 0.55 -p 0.35 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c3540/c3540_w_invpair_B.log
c3540,w_invpair_C,PASS,628.56,18.00,562.86,18.00,19,60,60.0,0.0,20.0,13,0,40,"-i 0.52 -p 0.40 -f 0.03 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c3540/c3540_w_invpair_C.log
c3540,w_invpair_D,PASS,628.56,18.00,568.97,18.00,19,60,60.0,0.0,20.0,13,0,38,"-i 0.47 -p 0.43 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c3540/c3540_w_invpair_D.log
c3540,w_invpair_E,PASS,628.56,18.00,577.75,18.00,21,58,60.0,0.0,20.0,15,0,36,"-i 0.53 -p 0.37 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c3540/c3540_w_invpair_E.log
c5315,w_invpair_base,PASS,1158.96,18.00,996.17,18.00,30,77,100.0,0.0,0.0,72,0,3,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c5315/c5315_w_invpair_base.log
c5315,w_invpair_A,PASS,1158.96,18.00,1010.80,18.00,20,86,75.0,0.0,0.0,77,0,9,"-i 0.48 -p 0.45 -f 0.04 -g 0.03","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c5315/c5315_w_invpair_A.log
c5315,w_invpair_B,PASS,1158.96,18.00,993.78,18.00,32,77,100.0,0.0,0.0,65,0,8,"-i 0.55 -p 0.35 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c5315/c5315_w_invpair_B.log
c5315,w_invpair_C,PASS,1158.96,18.00,996.17,18.00,30,77,100.0,0.0,0.0,72,0,3,"-i 0.52 -p 0.40 -f 0.03 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c5315/c5315_w_invpair_C.log
c5315,w_invpair_D,PASS,1158.96,18.00,1010.00,18.00,22,84,100.0,0.0,0.0,78,0,5,"-i 0.47 -p 0.43 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c5315/c5315_w_invpair_D.log
c5315,w_invpair_E,PASS,1158.96,18.00,998.30,18.00,30,79,100.0,0.0,0.0,72,0,5,"-i 0.53 -p 0.37 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c5315/c5315_w_invpair_E.log
c6288,w_invpair_base,PASS,2283.08,45.00,1401.82,45.00,15,93,60.0,0.0,0.0,7,1,40,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c6288/c6288_w_invpair_base.log
c6288,w_invpair_A,PASS,2283.08,45.00,1401.82,45.00,15,93,60.0,0.0,0.0,7,1,40,"-i 0.48 -p 0.45 -f 0.04 -g 0.03","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c6288/c6288_w_invpair_A.log
c6288,w_invpair_B,PASS,2283.08,45.00,1397.56,45.00,30,77,40.0,0.0,0.0,10,0,22,"-i 0.55 -p 0.35 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c6288/c6288_w_invpair_B.log
c6288,w_invpair_C,PASS,2283.08,45.00,1401.82,45.00,15,93,60.0,0.0,0.0,7,1,40,"-i 0.52 -p 0.40 -f 0.03 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c6288/c6288_w_invpair_C.log
c6288,w_invpair_D,PASS,2283.08,45.00,1401.82,45.00,15,93,60.0,0.0,0.0,7,1,40,"-i 0.47 -p 0.43 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c6288/c6288_w_invpair_D.log
c6288,w_invpair_E,PASS,2283.08,45.00,1401.82,45.00,15,93,60.0,0.0,0.0,7,1,40,"-i 0.53 -p 0.37 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c6288/c6288_w_invpair_E.log
c7552,w_invpair_base,PASS,1061.34,13.00,1021.71,13.00,19,81,40.0,0.0,0.0,30,7,35,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c7552/c7552_w_invpair_base.log
c7552,w_invpair_A,PASS,1061.34,13.00,1023.83,13.00,18,82,40.0,0.0,0.0,35,6,34,"-i 0.48 -p 0.45 -f 0.04 -g 0.03","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c7552/c7552_w_invpair_A.log
c7552,w_invpair_B,PASS,1061.34,13.00,1020.11,13.00,20,80,40.0,0.0,0.0,27,8,35,"-i 0.55 -p 0.35 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c7552/c7552_w_invpair_B.log
c7552,w_invpair_C,PASS,1061.34,13.00,1020.91,13.00,20,80,40.0,0.0,0.0,27,8,35,"-i 0.52 -p 0.40 -f 0.03 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c7552/c7552_w_invpair_C.log
c7552,w_invpair_D,PASS,1061.34,13.00,1023.83,13.00,18,82,40.0,0.0,0.0,31,6,37,"-i 0.47 -p 0.43 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c7552/c7552_w_invpair_D.log
c7552,w_invpair_E,PASS,1061.34,13.00,1020.11,13.00,20,80,40.0,0.0,0.0,27,8,35,"-i 0.53 -p 0.37 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c7552/c7552_w_invpair_E.log
