bench,combo,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,thresh_name,weight_name,phyread_args,phyopt_args,log_file
c880,t_L025_H095__w_base,PASS,210.67,12.00,206.15,11.00,16,51,40.0,0.0,50.0,24,3,16,"t_L025_H095","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c880/c880_t_L025_H095__w_base.log
c880,t_L025_H095__w_nogate,PASS,210.67,12.00,206.15,11.00,16,51,40.0,0.0,0.0,24,3,16,"t_L025_H095","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c880/c880_t_L025_H095__w_nogate.log
c1355,t_L025_H090__w_inv_pair,PASS,250.57,9.00,248.98,9.00,17,49,60.0,0.0,0.0,2,0,2,"t_L025_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1355/c1355_t_L025_H090__w_inv_pair.log
c1355,t_L025_H090__w_base,PASS,250.57,9.00,248.98,9.00,17,51,60.0,0.0,0.0,2,0,2,"t_L025_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1355/c1355_t_L025_H090__w_base.log
c1355,t_L025_H090__w_nogate,PASS,250.57,9.00,248.98,9.00,17,51,60.0,0.0,0.0,2,0,2,"t_L025_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1355/c1355_t_L025_H090__w_nogate.log
c1355,t_L020_H090__w_inv_pair,PASS,250.57,9.00,250.04,9.00,17,49,60.0,0.0,0.0,0,0,0,"t_L020_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1355/c1355_t_L020_H090__w_inv_pair.log
c1355,t_L020_H090__w_base,PASS,250.57,9.00,250.04,9.00,17,49,60.0,0.0,0.0,0,0,0,"t_L020_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1355/c1355_t_L020_H090__w_base.log
c1355,t_L020_H090__w_nogate,PASS,250.57,9.00,250.04,9.00,17,49,60.0,0.0,0.0,0,0,0,"t_L020_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1355/c1355_t_L020_H090__w_nogate.log
c1355,t_L025_H095__w_inv_pair,PASS,250.57,9.00,248.98,9.00,17,49,60.0,0.0,0.0,2,0,2,"t_L025_H095","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1355/c1355_t_L025_H095__w_inv_pair.log
c1355,t_L025_H095__w_base,PASS,250.57,9.00,248.98,9.00,17,51,60.0,0.0,0.0,2,0,2,"t_L025_H095","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1355/c1355_t_L025_H095__w_base.log
c1355,t_L025_H095__w_nogate,PASS,250.57,9.00,248.98,9.00,17,51,60.0,0.0,0.0,2,0,2,"t_L025_H095","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1355/c1355_t_L025_H095__w_nogate.log
c1908,t_L025_H090__w_inv_pair,PASS,209.08,13.00,181.15,11.00,16,57,80.0,0.0,40.0,24,0,17,"t_L025_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1908/c1908_t_L025_H090__w_inv_pair.log
c1908,t_L025_H090__w_base,PASS,209.08,13.00,181.68,11.00,15,58,80.0,0.0,40.0,24,0,20,"t_L025_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1908/c1908_t_L025_H090__w_base.log
c1908,t_L025_H090__w_nogate,PASS,209.08,13.00,181.15,11.00,16,57,80.0,0.0,40.0,24,0,17,"t_L025_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1908/c1908_t_L025_H090__w_nogate.log
c1908,t_L020_H090__w_inv_pair,PASS,209.08,13.00,181.15,11.00,16,55,80.0,0.0,40.0,24,0,16,"t_L020_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1908/c1908_t_L020_H090__w_inv_pair.log
c1908,t_L020_H090__w_base,PASS,209.08,13.00,181.68,11.00,15,56,80.0,0.0,40.0,24,0,19,"t_L020_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1908/c1908_t_L020_H090__w_base.log
c1908,t_L020_H090__w_nogate,PASS,209.08,13.00,181.15,11.00,16,55,80.0,0.0,40.0,24,0,16,"t_L020_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1908/c1908_t_L020_H090__w_nogate.log
c1908,t_L025_H095__w_inv_pair,PASS,209.08,13.00,183.81,11.00,12,57,80.0,0.0,20.0,26,0,14,"t_L025_H095","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1908/c1908_t_L025_H095__w_inv_pair.log
c1908,t_L025_H095__w_base,PASS,209.08,13.00,183.81,11.00,12,57,80.0,0.0,20.0,26,1,14,"t_L025_H095","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1908/c1908_t_L025_H095__w_base.log
c1908,t_L025_H095__w_nogate,PASS,209.08,13.00,183.81,11.00,12,57,80.0,0.0,20.0,26,0,14,"t_L025_H095","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c1908/c1908_t_L025_H095__w_nogate.log
c2670,t_L025_H090__w_inv_pair,PASS,454.59,10.00,391.82,10.00,16,44,60.0,25.0,25.0,15,0,24,"t_L025_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c2670/c2670_t_L025_H090__w_inv_pair.log
c2670,t_L025_H090__w_base,PASS,454.59,10.00,391.82,10.00,16,44,60.0,25.0,25.0,15,0,24,"t_L025_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c2670/c2670_t_L025_H090__w_base.log
c2670,t_L025_H090__w_nogate,PASS,454.59,10.00,391.55,10.00,17,43,60.0,25.0,25.0,15,0,23,"t_L025_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c2670/c2670_t_L025_H090__w_nogate.log
c2670,t_L020_H090__w_inv_pair,PASS,454.59,10.00,391.82,10.00,16,44,60.0,25.0,25.0,15,0,24,"t_L020_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c2670/c2670_t_L020_H090__w_inv_pair.log
c2670,t_L020_H090__w_base,PASS,454.59,10.00,391.82,10.00,16,44,60.0,25.0,25.0,15,0,24,"t_L020_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c2670/c2670_t_L020_H090__w_base.log
c2670,t_L020_H090__w_nogate,PASS,454.59,10.00,391.55,10.00,17,43,60.0,25.0,25.0,15,0,23,"t_L020_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c2670/c2670_t_L020_H090__w_nogate.log
c2670,t_L025_H095__w_inv_pair,PASS,454.59,10.00,402.19,10.00,25,39,100.0,0.0,50.0,16,0,11,"t_L025_H095","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c2670/c2670_t_L025_H095__w_inv_pair.log
c2670,t_L025_H095__w_base,PASS,454.59,10.00,402.19,10.00,25,39,100.0,0.0,50.0,16,0,11,"t_L025_H095","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c2670/c2670_t_L025_H095__w_base.log
c2670,t_L025_H095__w_nogate,PASS,454.59,10.00,402.19,10.00,25,39,100.0,0.0,50.0,16,0,11,"t_L025_H095","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c2670/c2670_t_L025_H095__w_nogate.log
c3540,t_L025_H090__w_inv_pair,PASS,628.56,18.00,574.56,18.00,16,43,60.0,50.0,40.0,12,0,27,"t_L025_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c3540/c3540_t_L025_H090__w_inv_pair.log
c3540,t_L025_H090__w_base,PASS,628.56,18.00,574.56,18.00,16,43,60.0,50.0,40.0,12,0,27,"t_L025_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c3540/c3540_t_L025_H090__w_base.log
c3540,t_L025_H090__w_nogate,PASS,628.56,18.00,567.38,18.00,12,51,60.0,0.0,20.0,12,0,33,"t_L025_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c3540/c3540_t_L025_H090__w_nogate.log
c3540,t_L020_H090__w_inv_pair,PASS,628.56,18.00,574.56,18.00,16,43,60.0,50.0,40.0,12,0,27,"t_L020_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c3540/c3540_t_L020_H090__w_inv_pair.log
c3540,t_L020_H090__w_base,PASS,628.56,18.00,574.56,18.00,16,43,60.0,50.0,40.0,12,0,27,"t_L020_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c3540/c3540_t_L020_H090__w_base.log
c3540,t_L020_H090__w_nogate,PASS,628.56,18.00,567.38,18.00,12,51,60.0,0.0,20.0,12,0,33,"t_L020_H090","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.20 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c3540/c3540_t_L020_H090__w_nogate.log
c3540,t_L025_H095__w_inv_pair,PASS,628.56,18.00,568.18,18.00,13,51,80.0,0.0,0.0,13,2,26,"t_L025_H095","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c3540/c3540_t_L025_H095__w_inv_pair.log
c3540,t_L025_H095__w_base,PASS,628.56,18.00,568.18,18.00,13,51,80.0,0.0,0.0,13,2,26,"t_L025_H095","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c3540/c3540_t_L025_H095__w_base.log
c3540,t_L025_H095__w_nogate,PASS,628.56,18.00,593.71,17.00,18,41,80.0,100.0,0.0,13,0,23,"t_L025_H095","w_nogate","-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.95",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c3540/c3540_t_L025_H095__w_nogate.log
c5315,t_L025_H090__w_inv_pair,PASS,1158.96,18.00,1002.29,18.00,24,65,100.0,0.0,0.0,58,0,5,"t_L025_H090","w_inv_pair","-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c5315/c5315_t_L025_H090__w_inv_pair.log
c5315,t_L025_H090__w_base,PASS,1158.96,18.00,1002.29,18.00,24,65,100.0,0.0,0.0,58,0,5,"t_L025_H090","w_base","-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/crossval_3x3_11cxx/results/run_20260401_143624/c5315/c5315_t_L025_H090__w_base.log
