bench,case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,phyread_args,phyopt_args,log_file
c1908,w_inv_pair,PASS,209.08,13.00,181.15,11.00,16,57,80.0,0.0,40.0,24,0,17,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c1908/c1908_w_inv_pair.log
c1908,w_base,PASS,209.08,13.00,181.68,11.00,15,58,80.0,0.0,40.0,24,0,20,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c1908/c1908_w_base.log
c2670,w_nogate,PASS,454.59,10.00,391.55,10.00,17,43,60.0,25.0,25.0,15,0,23,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c2670/c2670_w_nogate.log
c2670,w_balanced,PASS,454.59,10.00,391.55,10.00,17,43,60.0,25.0,25.0,15,0,23,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c2670/c2670_w_balanced.log
c2670,w_inv_pair,PASS,454.59,10.00,391.82,10.00,16,44,60.0,25.0,25.0,15,0,24,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c2670/c2670_w_inv_pair.log
c2670,w_base,PASS,454.59,10.00,391.82,10.00,16,44,60.0,25.0,25.0,15,0,24,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c2670/c2670_w_base.log
c3540,w_nogate,PASS,628.56,18.00,567.38,18.00,12,51,60.0,0.0,20.0,12,0,33,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c3540/c3540_w_nogate.log
c3540,w_balanced,PASS,628.56,18.00,567.38,18.00,12,51,60.0,0.0,20.0,12,0,35,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c3540/c3540_w_balanced.log
c3540,w_inv_pair,PASS,628.56,18.00,574.56,18.00,16,43,60.0,50.0,40.0,12,0,27,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c3540/c3540_w_inv_pair.log
c3540,w_base,PASS,628.56,18.00,574.56,18.00,16,43,60.0,50.0,40.0,12,0,27,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c3540/c3540_w_base.log
c5315,w_nogate,PASS,1158.96,18.00,1002.29,18.00,24,65,100.0,0.0,0.0,58,0,5,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c5315/c5315_w_nogate.log
c5315,w_balanced,PASS,1158.96,18.00,1010.00,18.00,22,64,100.0,0.0,0.0,58,0,5,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c5315/c5315_w_balanced.log
c5315,w_inv_pair,PASS,1158.96,18.00,1002.29,18.00,24,65,100.0,0.0,0.0,58,0,5,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c5315/c5315_w_inv_pair.log
c5315,w_base,PASS,1158.96,18.00,1002.29,18.00,24,65,100.0,0.0,0.0,58,0,5,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c5315/c5315_w_base.log
c6288,w_nogate,PASS,2283.08,45.00,1401.82,45.00,15,73,60.0,0.0,0.0,7,1,27,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c6288/c6288_w_nogate.log
c6288,w_balanced,PASS,2283.08,45.00,1404.75,45.00,30,58,80.0,0.0,40.0,10,0,18,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c6288/c6288_w_balanced.log
c6288,w_inv_pair,PASS,2283.08,45.00,1401.82,45.00,15,73,60.0,0.0,0.0,7,1,27,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c6288/c6288_w_inv_pair.log
c6288,w_base,PASS,2283.08,45.00,1401.82,45.00,15,73,60.0,0.0,0.0,7,1,27,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c6288/c6288_w_base.log
c7552,w_nogate,PASS,1061.34,13.00,1024.37,13.00,13,66,40.0,0.0,0.0,24,5,31,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c7552/c7552_w_nogate.log
c7552,w_balanced,PASS,1061.34,13.00,1024.37,13.00,13,66,40.0,0.0,0.0,26,5,29,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c7552/c7552_w_balanced.log
c7552,w_inv_pair,PASS,1061.34,13.00,1024.37,13.00,13,66,40.0,0.0,0.0,24,5,31,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c7552/c7552_w_inv_pair.log
c7552,w_base,PASS,1061.34,13.00,1026.76,13.00,12,68,40.0,0.0,0.0,24,5,31,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c7552/c7552_w_base.log
c432,w_nogate,PASS,138.85,14.00,104.80,13.00,11,70,40.0,20.0,0.0,5,13,33,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c432/c432_w_nogate.log
c432,w_balanced,PASS,138.85,14.00,104.80,13.00,11,70,40.0,20.0,0.0,5,13,33,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c432/c432_w_balanced.log
c432,w_inv_pair,PASS,138.85,14.00,97.62,14.00,16,63,40.0,20.0,25.0,10,5,27,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c432/c432_w_inv_pair.log
c432,w_base,PASS,138.85,14.00,97.62,14.00,16,63,40.0,20.0,25.0,10,5,27,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/c432/c432_w_base.log
ex200,w_nogate,PASS,10057.46,17.00,9850.51,17.00,40,38,80.0,0.0,80.0,2,0,12,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex200/ex200_w_nogate.log
ex200,w_balanced,PASS,10057.46,17.00,9850.51,17.00,40,38,80.0,0.0,80.0,2,0,12,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex200/ex200_w_balanced.log
ex200,w_inv_pair,PASS,10057.46,17.00,9845.99,17.00,41,38,80.0,0.0,80.0,2,0,13,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex200/ex200_w_inv_pair.log
ex200,w_base,PASS,10057.46,17.00,9845.99,17.00,41,38,80.0,0.0,80.0,2,0,13,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex200/ex200_w_base.log
ex201,w_nogate,PASS,4583.18,15.00,4498.86,15.00,24,35,50.0,75.0,0.0,4,0,12,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex201/ex201_w_nogate.log
ex201,w_balanced,PASS,4583.18,15.00,4497.79,15.00,25,32,50.0,75.0,25.0,4,0,12,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex201/ex201_w_balanced.log
ex201,w_inv_pair,PASS,4583.18,15.00,4498.06,15.00,22,39,50.0,75.0,0.0,4,0,13,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex201/ex201_w_inv_pair.log
ex201,w_base,PASS,4583.18,15.00,4496.46,15.00,23,38,50.0,75.0,0.0,4,0,12,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex201/ex201_w_base.log
ex202,w_nogate,PASS,9753.42,17.00,9607.39,17.00,27,57,60.0,20.0,40.0,4,0,19,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex202/ex202_w_nogate.log
ex202,w_balanced,PASS,9753.42,17.00,9607.39,17.00,27,57,60.0,20.0,40.0,4,0,19,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex202/ex202_w_balanced.log
ex202,w_inv_pair,PASS,9753.42,17.00,9598.61,17.00,34,48,60.0,20.0,40.0,4,0,14,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex202/ex202_w_inv_pair.log
ex202,w_base,PASS,9753.42,17.00,9602.33,17.00,32,52,60.0,20.0,40.0,4,0,14,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex202/ex202_w_base.log
ex203,w_nogate,PASS,15403.00,19.00,15282.50,19.00,31,55,40.0,20.0,40.0,1,0,18,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex203/ex203_w_nogate.log
ex203,w_balanced,PASS,15403.00,19.00,15282.50,19.00,31,55,40.0,20.0,40.0,1,0,18,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex203/ex203_w_balanced.log
ex203,w_inv_pair,PASS,15403.00,19.00,15273.45,19.00,31,56,40.0,20.0,80.0,2,0,20,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex203/ex203_w_inv_pair.log
ex203,w_base,PASS,15403.00,19.00,15273.45,19.00,31,56,40.0,20.0,80.0,2,0,20,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex203/ex203_w_base.log
ex204,w_nogate,PASS,9182.59,17.00,9052.78,17.00,32,47,40.0,20.0,80.0,3,0,21,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex204/ex204_w_nogate.log
ex204,w_balanced,PASS,9182.59,17.00,9050.92,17.00,31,44,40.0,20.0,80.0,3,0,21,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex204/ex204_w_balanced.log
ex204,w_inv_pair,PASS,9182.59,17.00,9052.78,17.00,32,47,40.0,20.0,80.0,3,0,22,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex204/ex204_w_inv_pair.log
ex204,w_base,PASS,9182.59,17.00,9052.78,17.00,32,47,40.0,20.0,80.0,3,0,22,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex204/ex204_w_base.log
ex205,w_nogate,PASS,15813.43,18.00,15733.63,18.00,23,64,100.0,40.0,60.0,8,0,19,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex205/ex205_w_nogate.log
ex205,w_balanced,PASS,15813.43,18.00,15733.63,18.00,23,64,100.0,40.0,60.0,8,0,19,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex205/ex205_w_balanced.log
ex205,w_inv_pair,PASS,15813.43,18.00,15733.63,18.00,23,64,100.0,40.0,60.0,8,0,19,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex205/ex205_w_inv_pair.log
ex205,w_base,PASS,15813.43,18.00,15733.63,18.00,24,63,100.0,20.0,60.0,8,0,18,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex205/ex205_w_base.log
ex206,w_nogate,PASS,63567.08,24.00,63288.85,24.00,28,61,40.0,20.0,20.0,0,0,26,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex206/ex206_w_nogate.log
ex206,w_balanced,PASS,63567.08,24.00,63288.85,24.00,28,61,40.0,20.0,20.0,0,0,26,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex206/ex206_w_balanced.log
ex206,w_inv_pair,PASS,63567.08,24.00,63288.85,24.00,28,61,40.0,20.0,20.0,0,0,26,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex206/ex206_w_inv_pair.log
ex206,w_base,PASS,63567.08,24.00,63288.85,24.00,28,61,40.0,20.0,20.0,0,0,26,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex206/ex206_w_base.log
ex207,w_nogate,PASS,89729.25,25.00,89281.84,25.00,29,61,40.0,20.0,60.0,0,0,27,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex207/ex207_w_nogate.log
ex207,w_balanced,PASS,89729.25,25.00,89281.84,25.00,29,61,40.0,20.0,60.0,0,0,27,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex207/ex207_w_balanced.log
ex207,w_inv_pair,PASS,89729.25,25.00,89281.84,25.00,29,61,40.0,20.0,60.0,0,0,27,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex207/ex207_w_inv_pair.log
ex207,w_base,PASS,89729.25,25.00,89281.84,25.00,29,61,40.0,20.0,60.0,0,0,27,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex207/ex207_w_base.log
ex281,w_nogate,PASS,4118.21,13.00,4015.80,13.00,32,50,100.0,0.0,20.0,3,0,12,"-i 0.45 -p 0.35 -f 0.20 -g 0.00","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex281/ex281_w_nogate.log
ex281,w_balanced,PASS,4118.21,13.00,4003.57,13.00,34,45,100.0,0.0,60.0,3,0,8,"-i 0.25 -p 0.25 -f 0.25 -g 0.25","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex281/ex281_w_balanced.log
ex281,w_inv_pair,PASS,4118.21,13.00,4015.80,13.00,32,50,100.0,0.0,20.0,3,0,12,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex281/ex281_w_inv_pair.log
ex281,w_base,PASS,4118.21,13.00,4012.88,13.00,33,50,100.0,0.0,20.0,3,0,15,"-i 0.40 -p 0.30 -f 0.20 -g 0.10","-L 0.25 -H 0.90",my_work/ablation_results_stageW_fine/ex281/ex281_w_base.log
