bench,case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,timeout_hit,runtime_sec,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,phyread_args,phyopt_args,log_file
ex290_017,cfg_winvpair_base,TIMEOUT,2997.80,285.47,2963.31,285.47,47,361,1,181,  high: t0=0/2 t1=0/2 t2=5/12,  low: t0=0/1 t1=0/0 t2=0/0,  mid: t0=2/23 t1=30/209 t2=10/119,40,1,249,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex290_017/ex290_017_cfg_winvpair_base.log
ex235_014,cfg_winvpair_base,PASS,1512.76,283.35,1454.31,285.06,65,556,0,132,  high: t0=1/7 t1=0/2 t2=10/39,  low: t0=1/2 t1=0/2 t2=1/2,  mid: t0=4/35 t1=30/186 t2=18/188,161,19,245,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex235_014/ex235_014_cfg_winvpair_base.log
ex205_020,cfg_winvpair_base,TIMEOUT,4528.06,356.32,4501.28,356.32,32,217,1,182,  high: t0=2/6 t1=1/5 t2=1/5,  low: t0=0/1 t1=0/1 t2=0/0,  mid: t0=8/60 t1=18/112 t2=2/28,32,3,134,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex205_020/ex205_020_cfg_winvpair_base.log
ex240_016,cfg_winvpair_base,PASS,1563.12,318.45,1506.86,318.45,42,500,0,129,  high: t0=1/17 t1=0/5 t2=3/26,  low: t0=0/3 t1=1/6 t2=0/2,  mid: t0=13/119 t1=14/109 t2=10/142,120,43,209,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex240_016/ex240_016_cfg_winvpair_base.log
ex250_019,cfg_winvpair_base,TIMEOUT,3176.28,370.76,3077.16,370.13,39,321,1,182,  high: t0=2/9 t1=1/5 t2=0/2,  low: t0=0/1 t1=1/1 t2=0/0,  mid: t0=13/113 t1=22/160 t2=0/12,58,18,181,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex250_019/ex250_019_cfg_winvpair_base.log
ex299_023,cfg_winvpair_base,TIMEOUT,198056.24,422.78,197758.93,422.78,1,1,1,463,  high: t0=1/1 t1=0/1 t2=0/0,  low: t0=0/0 t1=0/0 t2=0/0,  mid: t0=0/0 t1=0/0 t2=0/0,0,0,1,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex299_023/ex299_023_cfg_winvpair_base.log
ex211_009,cfg_winvpair_base,PASS,231.66,174.43,227.72,174.43,3,133,0,9,  high: t0=0/16 t1=1/13 t2=0/8,  low: t0=0/3 t1=0/0 t2=0/0,  mid: t0=1/23 t1=1/19 t2=0/23,36,7,22,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex211_009/ex211_009_cfg_winvpair_base.log
ex270_012,cfg_winvpair_base,PASS,167.16,247.01,163.18,247.01,7,94,0,5,  high: t0=2/24 t1=2/16 t2=0/6,  low: t0=0/0 t1=0/0 t2=0/0,  mid: t0=3/15 t1=0/3 t2=0/4,36,15,11,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex270_012/ex270_012_cfg_winvpair_base.log
ex286_012,cfg_winvpair_base,PASS,184.50,241.31,179.42,239.15,4,108,0,6,  high: t0=0/18 t1=1/14 t2=0/8,  low: t0=0/3 t1=0/5 t2=0/4,  mid: t0=0/7 t1=1/12 t2=2/29,18,5,11,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex286_012/ex286_012_cfg_winvpair_base.log
ex299_024,cfg_winvpair_base,TIMEOUT,193556.09,422.49,193486.23,422.49,0,2,1,405,  high: t0=0/1 t1=0/1 t2=0/0,  low: t0=0/0 t1=0/0 t2=0/0,  mid: t0=0/0 t1=0/0 t2=0/0,0,1,1,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex299_024/ex299_024_cfg_winvpair_base.log
ex257_014,cfg_winvpair_base,PASS,1832.56,286.84,1768.59,286.84,42,398,0,124,  high: t0=5/39 t1=0/4 t2=0/5,  low: t0=0/1 t1=0/1 t2=0/1,  mid: t0=0/8 t1=37/277 t2=0/13,91,57,194,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex257_014/ex257_014_cfg_winvpair_base.log
ex247_015,cfg_winvpair_base,PASS,170.07,270.10,155.48,269.87,5,121,0,7,  high: t0=1/25 t1=0/7 t2=0/8,  low: t0=0/1 t1=0/1 t2=0/0,  mid: t0=0/6 t1=3/23 t2=1/18,38,14,8,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex247_015/ex247_015_cfg_winvpair_base.log
ex269_017,cfg_winvpair_base,PASS,887.12,305.04,865.35,305.04,28,362,0,60,  high: t0=2/17 t1=2/12 t2=3/19,  low: t0=0/3 t1=0/4 t2=1/7,  mid: t0=0/9 t1=0/7 t2=20/266,50,37,203,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex269_017/ex269_017_cfg_winvpair_base.log
ex257_017,cfg_winvpair_base,TIMEOUT,1781.91,302.79,1703.20,302.79,61,632,1,181,  high: t0=5/26 t1=0/3 t2=0/3,  low: t0=0/2 t1=0/2 t2=0/2,  mid: t0=2/21 t1=3/24 t2=51/513,97,47,329,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex257_017/ex257_017_cfg_winvpair_base.log
ex272_015,cfg_winvpair_base,TIMEOUT,3713.33,286.12,3664.20,286.12,54,257,1,182,  high: t0=0/2 t1=1/3 t2=4/11,  low: t0=0/1 t1=0/0 t2=0/0,  mid: t0=21/93 t1=8/40 t2=20/131,30,10,158,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex272_015/ex272_015_cfg_winvpair_base.log
ex235_015,cfg_winvpair_base,PASS,1499.17,282.10,1467.64,282.10,46,453,0,113,  high: t0=2/18 t1=5/26 t2=0/4,  low: t0=0/3 t1=0/2 t2=0/2,  mid: t0=0/6 t1=0/5 t2=39/351,82,24,211,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex235_015/ex235_015_cfg_winvpair_base.log
ex267_014,cfg_winvpair_base,PASS,152.23,245.39,148.79,245.39,6,107,0,5,  high: t0=0/7 t1=2/14 t2=0/5,  low: t0=0/2 t1=0/4 t2=0/3,  mid: t0=3/25 t1=0/5 t2=1/17,40,10,31,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex267_014/ex267_014_cfg_winvpair_base.log
ex209_014,cfg_winvpair_base,PASS,501.21,248.81,489.06,248.81,13,237,0,23,  high: t0=0/12 t1=3/28 t2=0/8,  low: t0=1/5 t1=0/3 t2=0/2,  mid: t0=0/10 t1=1/16 t2=8/145,23,8,85,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex209_014/ex209_014_cfg_winvpair_base.log
ex282_013,cfg_winvpair_base,PASS,250.69,266.61,247.74,266.61,4,125,0,5,  high: t0=1/31 t1=0/8 t2=0/9,  low: t0=0/3 t1=0/5 t2=0/3,  mid: t0=3/21 t1=0/4 t2=0/7,40,10,57,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex282_013/ex282_013_cfg_winvpair_base.log
ex201_014,cfg_winvpair_base,PASS,1117.33,267.85,1089.71,267.85,44,527,0,99,  high: t0=0/10 t1=1/12 t2=3/26,  low: t0=0/3 t1=0/5 t2=0/4,  mid: t0=6/52 t1=0/6 t2=34/376,83,38,278,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex201_014/ex201_014_cfg_winvpair_base.log
ex244_013,cfg_winvpair_base,PASS,314.66,239.72,313.08,239.72,2,157,0,9,  high: t0=0/26 t1=0/10 t2=0/12,  low: t0=0/0 t1=0/0 t2=0/0,  mid: t0=2/42 t1=0/11 t2=0/33,25,19,23,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex244_013/ex244_013_cfg_winvpair_base.log
ex233_017,cfg_winvpair_base,PASS,1447.08,304.13,1408.65,304.13,72,741,0,173,  high: t0=4/38 t1=0/5 t2=0/5,  low: t0=0/3 t1=0/5 t2=0/3,  mid: t0=0/7 t1=0/6 t2=68/695,53,26,527,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex233_017/ex233_017_cfg_winvpair_base.log
ex299_021,cfg_winvpair_base,TIMEOUT,204870.83,403.83,204338.88,403.83,0,2,1,366,  high: t0=0/1 t1=0/1 t2=0/0,  low: t0=0/0 t1=0/0 t2=0/0,  mid: t0=0/0 t1=0/0 t2=0/0,0,0,2,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex299_021/ex299_021_cfg_winvpair_base.log
ex246_014,cfg_winvpair_base,PASS,165.07,257.62,161.88,257.62,1,101,0,5,  high: t0=1/24 t1=0/6 t2=0/7,  low: t0=0/2 t1=0/4 t2=0/2,  mid: t0=0/10 t1=0/8 t2=0/17,22,16,6,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex246_014/ex246_014_cfg_winvpair_base.log
ex202_017,cfg_winvpair_base,TIMEOUT,3351.32,296.64,3294.95,296.64,50,346,1,182,  high: t0=0/4 t1=2/9 t2=0/3,  low: t0=0/2 t1=0/1 t2=0/1,  mid: t0=24/174 t1=24/152 t2=0/9,42,1,176,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex202_017/ex202_017_cfg_winvpair_base.log
ex211_015,cfg_winvpair_base,PASS,158.09,253.68,154.32,253.68,6,113,0,4,  high: t0=3/30 t1=0/4 t2=1/11,  low: t0=0/1 t1=0/0 t2=0/1,  mid: t0=0/6 t1=0/5 t2=2/25,44,3,40,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex211_015/ex211_015_cfg_winvpair_base.log
ex286_015,cfg_winvpair_base,PASS,168.80,263.59,155.79,262.67,6,100,0,5,  high: t0=0/9 t1=2/18 t2=2/20,  low: t0=0/3 t1=0/5 t2=0/3,  mid: t0=1/13 t1=0/5 t2=1/19,17,11,42,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex286_015/ex286_015_cfg_winvpair_base.log
ex256_024,cfg_winvpair_base,PASS,228.65,386.56,223.32,386.56,9,211,0,6,  high: t0=1/15 t1=3/19 t2=0/5,  low: t0=0/3 t1=0/2 t2=0/1,  mid: t0=3/37 t1=2/20 t2=0/16,116,19,40,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex256_024/ex256_024_cfg_winvpair_base.log
ex204_016,cfg_winvpair_base,PASS,1459.66,302.72,1422.81,302.72,52,773,0,155,  high: t0=1/18 t1=2/17 t2=1/13,  low: t0=2/14 t1=0/7 t2=0/5,  mid: t0=0/8 t1=0/6 t2=46/570,169,72,354,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex204_016/ex204_016_cfg_winvpair_base.log
ex289_013,cfg_winvpair_base,PASS,244.20,245.15,236.72,245.15,3,92,0,5,  high: t0=1/19 t1=0/6 t2=2/23,  low: t0=0/2 t1=0/4 t2=0/3,  mid: t0=0/11 t1=0/8 t2=0/19,3,20,41,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex289_013/ex289_013_cfg_winvpair_base.log
ex253_015,cfg_winvpair_base,PASS,149.37,311.34,143.26,306.22,3,99,0,4,  high: t0=0/15 t1=2/22 t2=0/9,  low: t0=0/2 t1=0/4 t2=0/3,  mid: t0=0/4 t1=1/9 t2=0/6,34,10,6,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex253_015/ex253_015_cfg_winvpair_base.log
ex216_015,cfg_winvpair_base,PASS,207.15,249.56,203.22,249.56,3,152,0,7,  high: t0=0/20 t1=0/8 t2=0/11,  low: t0=0/4 t1=0/7 t2=0/4,  mid: t0=0/9 t1=0/7 t2=3/46,49,4,26,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex216_015/ex216_015_cfg_winvpair_base.log
ex268_013,cfg_winvpair_base,PASS,434.23,265.91,411.40,265.91,27,260,0,19,  high: t0=2/35 t1=0/6 t2=0/7,  low: t0=0/1 t1=0/0 t2=0/0,  mid: t0=10/78 t1=10/68 t2=5/60,44,25,126,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex268_013/ex268_013_cfg_winvpair_base.log
ex280_014,cfg_winvpair_base,PASS,168.74,289.23,163.36,289.23,7,92,0,3,  high: t0=0/7 t1=0/5 t2=5/34,  low: t0=0/2 t1=0/3 t2=0/2,  mid: t0=0/5 t1=0/4 t2=2/20,27,3,38,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex280_014/ex280_014_cfg_winvpair_base.log
ex299_022,cfg_winvpair_base,TIMEOUT,198788.19,416.11,198481.16,416.11,0,2,1,330,  high: t0=0/1 t1=0/1 t2=0/0,  low: t0=0/0 t1=0/0 t2=0/0,  mid: t0=0/0 t1=0/0 t2=0/0,0,0,1,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex299_022/ex299_022_cfg_winvpair_base.log
ex288_013,cfg_winvpair_base,PASS,253.53,243.60,240.95,239.41,13,106,0,8,  high: t0=5/33 t1=1/7 t2=1/7,  low: t0=1/7 t1=0/5 t2=0/4,  mid: t0=1/11 t1=4/26 t2=0/8,13,13,26,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex288_013/ex288_013_cfg_winvpair_base.log
ex245_015,cfg_winvpair_base,PASS,536.60,273.62,511.54,273.62,17,273,0,22,  high: t0=4/37 t1=0/5 t2=0/6,  low: t0=0/1 t1=0/2 t2=0/1,  mid: t0=1/22 t1=7/72 t2=5/77,69,35,66,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex245_015/ex245_015_cfg_winvpair_base.log
ex255_011,cfg_winvpair_base,PASS,83.46,206.37,82.66,206.37,2,93,0,3,  high: t0=0/10 t1=1/11 t2=1/12,  low: t0=0/0 t1=0/0 t2=0/0,  mid: t0=0/8 t1=0/7 t2=0/12,39,10,2,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex255_011/ex255_011_cfg_winvpair_base.log
ex213_012,cfg_winvpair_base,PASS,185.98,231.08,183.87,231.08,3,120,0,4,  high: t0=0/20 t1=0/7 t2=0/9,  low: t0=0/4 t1=0/8 t2=0/5,  mid: t0=3/27 t1=0/6 t2=0/10,36,19,4,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex213_012/ex213_012_cfg_winvpair_base.log
ex249_016,cfg_winvpair_base,PASS,118.86,284.96,117.25,282.91,2,78,0,3,  high: t0=0/15 t1=0/6 t2=2/23,  low: t0=0/0 t1=0/0 t2=0/0,  mid: t0=0/3 t1=0/3 t2=0/3,27,22,6,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-d -k 40 -L 0.25 -H 0.90 -t 180",/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_fit50_collect_20260420_155120/ex249_016/ex249_016_cfg_winvpair_base.log
